Expenditures 2009,Department Description,Expenditures 2008,Appropriations 1995,Appropriations 1994,Appropriations 1997,Appropriations 1996,Appropriations 1993,Department,Appropriations 1999,Appropriations 1998,Expenditures 2005,Expenditures 2004,Expenditures 2007,Expenditures 2006,Expenditures 2001,Expenditures 2000,Expenditures 2003,Expenditures 2002,Department ID,Appropriations 2014,Appropriations 2017,Appropriations 2016,Appropriations 2011,Appropriations 2010,Appropriations 2013,Appropriations 2012,Fund,Control Officer,Expenditures 1995,Expenditures 1998,Expenditures 1999,Expenditures 1996,Expenditures 1997,Expenditures 1994,Link to Website,Expenditures 1993,Expenditures 2015,Appropriations 2015,Expenditures 2016,Expenditures 2014,Appropriations 2009,Expenditures 2012,Expenditures 2013,Expenditures 2010,Expenditures 2011,Appropriations 2002,Appropriations 2003,Appropriations 2000,Appropriations 2001,Appropriations 2006,Appropriations 2007,Appropriations 2004,Appropriations 2005,Appropriations 2008,Short Title
0,"The Cook County Board of Ethics is responsible for enforcing the Cook County Ethics Ordinance. The Ethics Ordinance requires all Cook County officials and employees to abide by a Code of Conduct which sets forth general directives to ensure fair and honest government in Cook County. The Code of Conduct applies to officials, employees, person doing or seeking to do business with the County, persons regulated by the County, persons seeking official action by the County and lobbyists.",0,252411,187912,232424,210462,195288,Ethics Board,0,224416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Corporate Fund,President,98764,159692,0,186893,233306.45,87540,https://www.cookcountyil.gov/agency/board-ethics-1,116071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ethics Board
687120.43,"This Department is the liaison to The Cook County Commission on Human Rights, which enforces the Cook County Human Rights Ordinance, and the Cook County Commission on Women's Issues which was  is composed of seventeen women of various racial, economic, ethic, and occupational backgrounds from across Cook County, to advise the President and members of the Cook County Board of Commissioners on the issues of concern to women and girls. The Commission develops policy and program recommendations, and collaborates with a wide range of governmental and private sector organizations on projects addressing a variety of issues.",616965.69,504601,510251,524521,491713,368283,"Department of Human Rights, Ethics, Women's Issues",678529,557221,714326,770139,484061,783986.48,641714,587322.27,747172.91,835647,2,776602,942645,815762,753348,804818,843238,776305,Corporate Fund,President,423800,505054.2,588255,337498,406772.36,421083,https://www.cookcountyil.gov/agency/commission-human-rights-0,259716,634575.47,795895,740615.25,590200.79,727745,769445.09,667333.13,563218.97,663102.84,770125,804453,768362,788693,709034,643804,833877,716546,808600,Human Rights
0,The Department of Public Affairs and Communications operates under the Office of the President to centralize the efforts within the Offices under the President and increase public awareness and understanding of Cook County Government.,0,0,0,0,0,0,Department of Public Affairs and Communications,0,0,654504,723119,615808,680997.91,0,0,694922.82,0,5,0,0,0,0,0,0,0,Corporate Fund,President,0,0,0,0,0,0,http://www.cookcountyil.gov/office-of-the-president/offices-under-the-president/,0,0,0,0,0,0,0,0,0,0,0,831002,0,0,673295,533226,833497,723071,0,Public Affairs
2380314.83,"The Department collects Cook County home rule taxes and other fees, and administers and enforces such collections. The Department audits and maintains delinquent property tax records. The Department of Revenue also researches and proposes new revenue sources for the County.",2276639.81,2012415,2138204,2405966,2060162,2258336,Department of Revenue,2463989,2449224,2304837,2477643,2087834,2359007.99,2603077,2437319.91,2584489.92,2590404,7,2118143,8545358,7044988,2036609,2572615,2249145,2443424,Corporate Fund,President,1827351,2197086.96,2124099,1917663,2246388.11,2022538,https://www.cookcountyil.gov/agency/department-revenue,1708575,4712382.2,5459256,6241531.07,2168947.92,2450977,2805102.53,2197661.87,2417950.01,2281675.41,2883369,2922275,2731624,2974009,2709209,2123407,3170594,2661480,2274300,Revenue
1664197.57,"The Department of Risk Management is responsible for the administration of employee benefit plans, workers compensation claims, general liability claims and safety programs.",1462185.18,2092454,1993281,1788426,1835457,1960585,Department of Risk Management,1847135,1814589,1790130,2048690,1326704,1691459.61,1729683,1728340.43,1898554.88,1805829,8,701533,2100003,1606087,1450076,1644544,621531,827214,Corporate Fund,President,1654878,1453620.99,1470371,1359726,1491623.34,1567668,https://www.cookcountyil.gov/agency/department-risk-management,1216284,1659003.68,1713774,1604351.03,728767.06,1636099,763880.34,620847.01,1620216.48,1409893.23,1905503,2036180,1983398,1967439,1780613,1292982,2143608,1821935,1592600,Risk Management
5868487.78,"The Bureau of Technology helps improve the effectiveness and efficiency of Cook County government by providing technology leadership, oversight, products and services. The Department partners with Cook County departments and agencies in the design, development, deployment and support of mainframe, midrange, distributed and web-based applications.",1790546.88,0,0,271644,0,0,Bureau of Technology,317942,303530,299556,407071,326345,263690.74,329625,236072.65,367874.5,368172,9,4259744,18719225,14057116,6177593,4941152,5185049,4949301,Corporate Fund,President,0,285009.51,283095,0,146987.47,0,https://www.cookcountyil.gov/agency/bureau-technology-0,0,11945508.69,12981437,13231387.3,4029635.27,6266223,5968825.36,4656122.14,2483273.44,6516523.77,378553,396462,349849,389807,352463,377130,421153,383917,3276000,Technology
2643108.03,The President is the chief executive officer of the the County and presides over the meetings of the County Board and directly supervises departments which provide a variety of direct and support services. The President is elected to a four-year term by the voters of the entire County.,2664153.95,1168874,1168874,1168874,1168874,979184,Office of the President,1530296,1230691,1553570,1451764,1434756,1539738.41,1440079,1504066.55,1512400.5,1317798,10,1569999,2207512,1982892,1914072,2362490,1569999,1611196,Corporate Fund,President,1168874,1174404.78,1405433,1023082,1168874,787146,https://www.cookcountyil.gov/agency/office-president-0,823371,1766682.92,1762656,1888513.47,1557426.82,2475702,1583394.28,1420874.15,2597108.12,1843703.18,1784402,1758956,1728228,1790138,1684806,1365474,1734994,1519092,2641800,President
2225265.2,"The Chief Administrative Officer coordinates the activities of these Cook County departments and functions: Adoption & Family Supportive Services, Animal & Rabies Control, Child Support Compliance Enforcement, Environmental Control, Highway, Industrial Engineering, Law Library, Motor Fuel Tax Illinois First, Medical Examiner, Print Shop, Salvage Activity, Veterans Assistance Commission",1421098.82,1308428,1321970,1271362,1227930,1440007,Office of the Chief Administrative Officer,1449996,1409451,1429856,1518330,1410064,1468103.73,1708460,1511881.96,1513738.59,1660098,11,2712586,3613655,2401356,1819286,2303804,2636851,2570975,Corporate Fund,President,1160589,1306087.97,1441259,1153511,1206079.52,998832,https://www.cookcountyil.gov/agency/office-chief-administrative-officer,1062860,2279732.11,2340425,1743762.12,2066208.29,2364337,2883916.85,2550771.12,2066600.55,2679140.23,1661581,1735544,1653655,1748375,1555488,1469182,1709668,1531089,2259700,Administrative Officer
6505499.41,This Department merged for FY2011 into Department of Technology Policy and Planning (009),5990818.92,9165044,12398363,9321487,9597961,10907273,Department of Management Information Systems,8432887,9087553,6614564,9089280,6071658,6982353.19,9555499,7895023.28,8979783.2,8685321,12,0,0,0,0,6266489,0,0,Corporate Fund,President,7970778,8329145.93,7606892,8462573,8176040.15,11862906,,10234913,0,0,0,0,6007516,0,0,5764261.95,0,9926803,9845517,9213839,10111088,7387157,5980984,9849869,8401304,6280700,Info Systems
1871167.36,"The Office of Planning & Development is committed to developing and sustaining viable communities by fostering economic opportunities and business development, preserving and expanding the supply of decent, affordable housing, promoting fair housing and supporting programs that address the problems of homelessness.",1722305.11,1236372,1124261,3332086,1130610,1199915,Planning & Development,2669439,3105277,2162859,2314865,1654658,2057105.24,2751658,2887719.84,2258732.6,2512064,13,1055426,997698,1023036,773510,868402,499686,314882,Corporate Fund,President,1027124,2710139.87,2594020,991771,3149652.63,923414,https://www.cookcountyil.gov/agency/planning-and-development,768051,962546.46,1130070,1280191.54,925887.93,1914107,519039.52,578607.11,897589.06,874934.85,2925684,2501586,3190968,3027953,2236958,1672312,2491232,2258150,1990100,Planning
