"Fund","Department ID","Department","Short Title","Link to Website","Department Description","Control Officer","Appropriations 1993","Appropriations 1994","Appropriations 1995","Appropriations 1996","Appropriations 1997","Appropriations 1998","Appropriations 1999","Appropriations 2000","Appropriations 2001","Appropriations 2002","Appropriations 2003","Appropriations 2004","Appropriations 2005","Appropriations 2006","Appropriations 2007","Appropriations 2008","Appropriations 2009","Appropriations 2010","Appropriations 2011","Appropriations 2012","Appropriations 2013","Appropriations 2014","Appropriations 2015","Appropriations 2016","Appropriations 2017","Expenditures 1993","Expenditures 1994","Expenditures 1995","Expenditures 1996","Expenditures 1997","Expenditures 1998","Expenditures 1999","Expenditures 2000","Expenditures 2001","Expenditures 2002","Expenditures 2003","Expenditures 2004","Expenditures 2005","Expenditures 2006","Expenditures 2007","Expenditures 2008","Expenditures 2009","Expenditures 2010","Expenditures 2011","Expenditures 2012","Expenditures 2013","Expenditures 2014","Expenditures 2015","Expenditures 2016"
"Corporate Fund",1,"Ethics Board","Ethics Board","https://www.cookcountyil.gov/agency/board-ethics-1","The Cook County Board of Ethics is responsible for enforcing the Cook County Ethics Ordinance. The Ethics Ordinance requires all Cook County officials and employees to abide by a Code of Conduct which sets forth general directives to ensure fair and honest government in Cook County. The Code of Conduct applies to officials, employees, person doing or seeking to do business with the County, persons regulated by the County, persons seeking official action by the County and lobbyists.","President",195288,187912,252411,210462,232424,224416,0,0,0,0,,,,,0,,0,0,0,,,,,,,116071,87540,98764,186893,233306.45,159692,,,,,,,,,,,,,,,,,,
"Corporate Fund",2,"Department of Human Rights, Ethics, Women's Issues","Human Rights","https://www.cookcountyil.gov/agency/commission-human-rights-0","This Department is the liaison to The Cook County Commission on Human Rights, which enforces the Cook County Human Rights Ordinance, and the Cook County Commission on Women's Issues which was  is composed of seventeen women of various racial, economic, ethic, and occupational backgrounds from across Cook County, to advise the President and members of the Cook County Board of Commissioners on the issues of concern to women and girls. The Commission develops policy and program recommendations, and collaborates with a wide range of governmental and private sector organizations on projects addressing a variety of issues.","President",368283,510251,504601,491713,524521,557221,678529,768362,788693,770125,804453,833877,716546,709034,643804,808600,727745,804818,753348,776305,843238,776602,795895,815762,942645,259716,421083,423800,337498,406772.36,505054.2,588255,587322.27,641714,835647,747172.91,770139,714326,783986.48,484061,616965.69,687120.43,563218.97,663102.84,769445.09,667333.13,590200.79,634575.47,740615.25
"Corporate Fund",5,"Department of Public Affairs and Communications","Public Affairs","http://www.cookcountyil.gov/office-of-the-president/offices-under-the-president/","The Department of Public Affairs and Communications operates under the Office of the President to centralize the efforts within the Offices under the President and increase public awareness and understanding of Cook County Government.","President",,,,,,,,,,,831002,833497,723071,673295,533226,0,0,0,0,,,,,,,,,,,,,,,,,694922.82,723119,654504,680997.91,615808,0,0,0,,,,,,
"Corporate Fund",7,"Department of Revenue","Revenue","https://www.cookcountyil.gov/agency/department-revenue","The Department collects Cook County home rule taxes and other fees, and administers and enforces such collections. The Department audits and maintains delinquent property tax records. The Department of Revenue also researches and proposes new revenue sources for the County.","President",2258336,2138204,2012415,2060162,2405966,2449224,2463989,2731624,2974009,2883369,2922275,3170594,2661480,2709209,2123407,2274300,2450977,2572615,2036609,2443424,2249145,2118143,5459256,7044988,8545358,1708575,2022538,1827351,1917663,2246388.11,2197086.96,2124099,2437319.91,2603077,2590404,2584489.92,2477643,2304837,2359007.99,2087834,2276639.81,2380314.83,2417950.01,2281675.41,2805102.53,2197661.87,2168947.92,4712382.2,6241531.07
"Corporate Fund",8,"Department of Risk Management","Risk Management","https://www.cookcountyil.gov/agency/department-risk-management","The Department of Risk Management is responsible for the administration of employee benefit plans, workers compensation claims, general liability claims and safety programs.","President",1960585,1993281,2092454,1835457,1788426,1814589,1847135,1983398,1967439,1905503,2036180,2143608,1821935,1780613,1292982,1592600,1636099,1644544,1450076,827214,621531,701533,1713774,1606087,2100003,1216284,1567668,1654878,1359726,1491623.34,1453620.99,1470371,1728340.43,1729683,1805829,1898554.88,2048690,1790130,1691459.61,1326704,1462185.18,1664197.57,1620216.48,1409893.23,763880.34,620847.01,728767.06,1659003.68,1604351.03
"Corporate Fund",9,"Bureau of Technology","Technology","https://www.cookcountyil.gov/agency/bureau-technology-0","The Bureau of Technology helps improve the effectiveness and efficiency of Cook County government by providing technology leadership, oversight, products and services. The Department partners with Cook County departments and agencies in the design, development, deployment and support of mainframe, midrange, distributed and web-based applications.","President",,,,,271644,303530,317942,349849,389807,378553,396462,421153,383917,352463,377130,3276000,6266223,4941152,6177593,4949301,5185049,4259744,12981437,14057116,18719225,,,,,146987.47,285009.51,283095,236072.65,329625,368172,367874.5,407071,299556,263690.74,326345,1790546.88,5868487.78,2483273.44,6516523.77,5968825.36,4656122.14,4029635.27,11945508.69,13231387.3
"Corporate Fund",10,"Office of the President","President","https://www.cookcountyil.gov/agency/office-president-0","The President is the chief executive officer of the the County and presides over the meetings of the County Board and directly supervises departments which provide a variety of direct and support services. The President is elected to a four-year term by the voters of the entire County.","President",979184,1168874,1168874,1168874,1168874,1230691,1530296,1728228,1790138,1784402,1758956,1734994,1519092,1684806,1365474,2641800,2475702,2362490,1914072,1611196,1569999,1569999,1762656,1982892,2207512,823371,787146,1168874,1023082,1168874,1174404.78,1405433,1504066.55,1440079,1317798,1512400.5,1451764,1553570,1539738.41,1434756,2664153.95,2643108.03,2597108.12,1843703.18,1583394.28,1420874.15,1557426.82,1766682.92,1888513.47
"Corporate Fund",11,"Office of the Chief Administrative Officer","Administrative Officer","https://www.cookcountyil.gov/agency/office-chief-administrative-officer","The Chief Administrative Officer coordinates the activities of these Cook County departments and functions: Adoption & Family Supportive Services, Animal & Rabies Control, Child Support Compliance Enforcement, Environmental Control, Highway, Industrial Engineering, Law Library, Motor Fuel Tax Illinois First, Medical Examiner, Print Shop, Salvage Activity, Veterans Assistance Commission","President",1440007,1321970,1308428,1227930,1271362,1409451,1449996,1653655,1748375,1661581,1735544,1709668,1531089,1555488,1469182,2259700,2364337,2303804,1819286,2570975,2636851,2712586,2340425,2401356,3613655,1062860,998832,1160589,1153511,1206079.52,1306087.97,1441259,1511881.96,1708460,1660098,1513738.59,1518330,1429856,1468103.73,1410064,1421098.82,2225265.2,2066600.55,2679140.23,2883916.85,2550771.12,2066208.29,2279732.11,1743762.12
"Corporate Fund",12,"Department of Management Information Systems","Info Systems",,"This Department merged for FY2011 into Department of Technology Policy and Planning (009)","President",10907273,12398363,9165044,9597961,9321487,9087553,8432887,9213839,10111088,9926803,9845517,9849869,8401304,7387157,5980984,6280700,6007516,6266489,0,,,,,,,10234913,11862906,7970778,8462573,8176040.15,8329145.93,7606892,7895023.28,9555499,8685321,8979783.2,9089280,6614564,6982353.19,6071658,5990818.92,6505499.41,5764261.95,,,,,,
"Corporate Fund",13,"Planning & Development","Planning","https://www.cookcountyil.gov/agency/planning-and-development","The Office of Planning & Development is committed to developing and sustaining viable communities by fostering economic opportunities and business development, preserving and expanding the supply of decent, affordable housing, promoting fair housing and supporting programs that address the problems of homelessness.","President",1199915,1124261,1236372,1130610,3332086,3105277,2669439,3190968,3027953,2925684,2501586,2491232,2258150,2236958,1672312,1990100,1914107,868402,773510,314882,499686,1055426,1130070,1023036,997698,768051,923414,1027124,991771,3149652.63,2710139.87,2594020,2887719.84,2751658,2512064,2258732.6,2314865,2162859,2057105.24,1654658,1722305.11,1871167.36,897589.06,874934.85,519039.52,578607.11,925887.93,962546.46,1280191.54
